name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
A. Stiffler,Agender,,Columbus, OH,,United States,,,Artist,,,,,,,ChaosLife, FindChaos, Lesbians 101,,,,,,,,,,Queer, Humor, Horror, Educational,,,,,http://www.patreon.com/findchaos,http://chaoslife.findchaos.com,http://twitter.com/findchaos,https://pbs.twimg.com/profile_images/528619836163637248/-dgY4fJ9.png,,,,,,,,,,,,,,,,,,,,,,,,
A.E. Green,Male,"mixed, black",,,,,1990,,Writer, Artist, Editor,,,,,Purity: A Post-Yaoi Anthology, Ashe & Boy (18+),,,,,,,,,,,indie, romance,,,,,,,http://purityanthology.tumblr.com/,http://asheandboy.tumblr.com/,http://twitter.com/Glittertooth,http://41.media.tumblr.com/17d0705e47fae370e401b75d58af7d11/tumblr_ni6rqqWYWc1u7da6so1_1280.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Aatmaja Pandya,Female,Indian American,New York, NY,,United States,1992,,Cartoonist,,,,,,,Travelogue, Baker's Dozen, The Bell Blues,,,,,,,,,,Indie, Webcomic, Fantasy, Slice-of-Life,,,,,http://aatmajapandya.com,http://traveloguecomic.com,http://twitter.com/aymayjay ,http://payload316.cargocollective.com/1/14/467040/8621329/prt_200x200_1411690980.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Adam Graphite,Male,American,Philadelphia, PA,,United States,1970,,Artist,,,,,,,Greek Love,,,,,,,,,,,,Mainstream, Adult, Indie,,,,,,http://Adamgraphite.com,,http://twitter.com/adamgraphite,http://41.media.tumblr.com/1382f5a653817e377f61c0c5e2e514a0/tumblr_nrsd79DUIe1qcc3cxo1_1280.png,,,,,,,,,,,,,,,,,,,,,,,,
Adam Pruett,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adee Roberson,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriana Ferguson,Female,Costa Rican,,,,,1985,,Writer, Penciler, Cartoonist, Creator,,,,Minor Acts of Heroism, S.T.O.P.,,,,,,,,,,,webcomic,,,,,,,,http://www.minoractsofheroism.com/,,https://twitter.com/missveryvery,http://very-very.info/maoh_resources/nilus_b.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Adrien Lee (Thephooka),Male,American,,OR,,United States,1990,,Writerm Artist, Creator,,,,,,White Noise,,,,,,,,,,,,fantasy,,,,,,,,http://www.white-noise-comic.com,http://www.thephooka.tumblr.com,http://www.twitter.com/thephooka,https://36.media.tumblr.com/f80cf27f5b8748b10cd9af4344153f31/tumblr_inline_npx71wlG5Z1qd3tso_540.png,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Czaja,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Dahm,"nonbinary, agender",Minnesotan,,,,,1992,,cartoonist,,,,,,,"Anything That Loves (contributor), many self-published comics",,,,,,,,,,,,indie, auto biographical, sci-fi,,,,,,http://www.alexdahm.com,http://www.alexdumb.tumblr.com,http://www.twitter.com/ajdahm,http://41.media.tumblr.com/727bc64d45e940be31f36ef5d19c2851/tumblr_nkz5vs8lvn1sghmrho1_1280.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Alex DeLourdes Araiza,Transman,Latin American,,,,,1989,,Writer, Artist, Cartoonist,,,,,,,,,,,,,,,,,Indie and Horror,,,,,,,,http://alex-d-araiza-art.tumblr.com/,http://alex-d-araiza-writer.tumblr.com/,https://twitter.com/alex_d_araiza,https://pbs.twimg.com/profile_images/462330616193617921/v6hPewus.jpeg,,,,,,,,,,,,,,,,,,,,,,,,
Alex Woolfson,Male,America,San Francisco, CA,,United States,1971,,Writer, Publisher, Creator,,,,,"Artifice, The Young Protectors",,,,,,,,,,,,Webcomic, Graphic Novels, Gay,,,,,,http://webcomics.yaoi911.com/,http://amwcomics.com/,https://twitter.com/alexwoolfson,http://amwcomics.com/wordpress/wp-content/uploads/2013/01/Alex-1-Square-Avatar_200x270.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Sugden,Female,Australian,,,,,1988,,Artist/Writer,,,,,,,My Sister's Voice, Crazy Cat Lady, The Disappearance of Melody Dean, Rasvaar,,,,,,,,,Graphic novel; webcomic,,,,,,,,http://www.alexissugden.com/,http://animatorlex.tumblr.com/,https://twitter.com/AlexisDraws,http://static.wixstatic.com/media/82d7c6_468696bd00a34aece6ec374b156d4598.jpg_srb_p_296_417_75_22_0.50_1.20_0.00_jpg_srb,,,,,,,,,,,,,,,,,,,,,,,,
Alice Meichi Li,Female,Asian American,,,,,1984,,Artist, Illustrator, Cover Artist,,,,,"Mega Man (Archie Comics, 2013)"," Elephantmen (Image Comics, 2011)"," Once Upon a Time Machine (Dark Horse Comics, 2012)"," Secret Identities, (The New Press, 2012)"," Reading With Pictures (2010, 2014)",,,,,,,,Pop-Surrealism,,,,,,,,http://alicemeichi.com/,http://en.wikipedia.org/wiki/Alice_Meichi_Li,https://twitter.com/AliceMeichi,http://www.alicemeichi.com/images/newestwork-b.gif,,,,,,,,,,,,,,,,,,,,,,,,
Alison Bechdel,Female,,,,,,,,Cartoonist,,,,,,,Dykes to Watch Out For, Fun Home, Are You My Mother?,,,,,,,,,,,,,,,,,,http://dykestowatchoutfor.com/,,https://twitter.com/alisonbechdel,http://www.powells.com/bookcovers/9780544002234.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Allan Neuwirth,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Verwey,Female,,,,,,,,Cartoonist,,,,,,,QU33R (contributor), Manderz Top Private Diary, All Deez Femalez Crawl,,,,,,,,,,,,,,,,,,http://www.amandamakescomics.com/,,,http://www.amandamakescomics.com/uploads/8/1/8/1/8181278/7636919_orig.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Amy T. Falcone,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Natalie,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Hartzell,Male,,,,,,,,Cartoonist,,,,,,,Fox Funny Bunny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anissa Espinosa,Female,"Half-Mexican, Half Puerto-Rican",,,,,1984,,Writer, Artist,,,,,,"Bee and Puppycat #1 Cover F, #3-4", Bravest Warriors #20 Cover D, Cast No Shadow (First Second Books), Barricade (Beyond Anthology),,,,,,,,,Indie,,,,,,,,http://redribbonrobot.tumblr.com/,,https://twitter.com/redribbonrobot,https://pbs.twimg.com/media/CNICkM1U8AAYtyT.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Ann Uland (Nym),Female,American,,,,,,,Artist,,,,,,,Grave Impressions, If The Shoe Fits, Cassius,,,,,,,,,,Webcomic, Mystery, Fairytale, Adventure,,,,,http://www.graveimpressions.com,http://www.annulandart.com,http://www.twitter.com/NymAulth,http://cdn.shopify.com/s/files/1/0711/8237/products/coverfront_59dc7759-7efe-4e41-9a1a-740825c1dcf0_large.jpg?v=1438060782,,,,,,,,,,,,,,,,,,,,,,,,
Anna Bongiovanni,Genderqueer,Caucasian,Minneapolis, MN,,United States,1986,,Cartoonist,,,,,,,"Grease Bats for Autostraddle.com, Out of Hollow Water, Selfie",,,,,,,,,,,,Indie, webcomic, queer comics,,,,,,http://bikesbabesandbooze.tumblr.com,http://annabongiovanni.com,http://twitter.com/dumb_,http://payload208.cargocollective.com/1/13/437567/6466114/P16.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Annie Mok,Female,Asian American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://heyanniemok.tumblr.com/,http://heyanniemok.com/,https://twitter.com/HeyAnnieMok,http://payload358.cargocollective.com/1/3/116682/9470991/prt_1425336132.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Annie Murphy,Female,American,,,,,,,Editor, Writer, Artist,,,,,Gay Genius (editor), QU33R (contributor), No Straight Lines (contributor), Symbology: An A to Z of Archetypes and Ephiphanies, I Still Live: Biography of a Spiritualist, Sick: A Visual Account of an Invisible Disability, Vermont Maple Sugar Mama (A Choose-Your-Porn Adventure), Hungry House, Multiples: D.I.D. in Women's Narrative,,,,,,,,,,,,http://grimoirecomics.weebly.com/annie-murphy.html,,https://twitter.com/anniedysmurphia,http://grimoirecomics.weebly.com/uploads/3/0/4/2/30423438/2541605.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Ariel Ries,Female,Asian Australian,,,,,1994,,Creator,,,,,,,,,,,,,,,,,,,Web,,,,,,,,http://www.witchycomic.com/,http://arielries.tumblr.com,https://twitter.com/cousineggplant,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel Schrag,,,,,,,,,Cartoonist,,,,,,,Likewise, Potential, Awkward and Definition, No Straight Lines (contributor), Stuck in the Middle (editor),,,,,,,,,,,,,,,,http://www.arielschrag.com/,,https://twitter.com/arielschrag,http://www.arielschrag.com/images/art/columbiamag_sm.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Ashanti Fortson,Non-binary,"Mexican American, Mixed",,,,,1997,,Creator,,,,,,,Galanthus, Lawbreaker,,,,,,,,,,,Webcomic, Sci-Fi, Fantasy,,,,,,http://galanthuscomic.com,http://ashantifortson.tumblr.com,https://twitter.com/ashantifortson,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Cook,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrid Lydia Johannsen,Genderqueer,,,,,,1974,,Creator,,,,,,,Threads from the Blue Rock Tapestry,,,,,,,,,,,,Urban Fantasy,,,,,,,,http://ellejohara.com/threads/,http://ellejohara.tumblr.com/,http://twitter.com/ellejohara,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Crossman-Serb,Female,Metis-Arab Canadian,,,,,1990,,Artist, Writer, Creator,,,,,Creation, Harvest, Con Spirito,,,,,,,,,,indie,,,,,,,,https://autumngrace.carbonmade.com/,http://akitron.tumblr.com/,https://twitter.com/Akitron,,,,,,,,,,,,,,,,,,,,,,,,,
Beck Kramer,Female,,,,,,1982,,cartoonist,,,,,,,Relativity,,,,,,,,,,,,sci fi, webcomic,,,,,,,http://relativitycomic.com,http://beckkramer.com,http://twitter.com/beckkramer,,,,,,,,,,,,,,,,,,,,,,,,,
Becky Hawkins,Female,Sorta-Jewish American,,,,,1984,,Cartoonist,,,,,,,French Toast Comix, Pratfall (contributor), The Strumpet (contributor),,,,,,,,,,Indie, autobio,,,,,,,http://http://frenchtoastcomix.com/,http://frenchtoastcomix.tumblr.com/,https://twitter.com/hawkins_becky,,,,,,,,,,,,,,,,,,,,,,,,,
Belasco Comix,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.belasco-comix.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beldan Sezen,Female,Turkish-German,,,,,1967,,Creator, Writer, Artist,,,,,Zakkum, #GeziPark, Sulla Mia Pelle, Snapshots of a Girl, To Separate the Body from the Machine,,,,,,,,Indie,,,,,,,,http://beldansezen.com/,http://eggsworld.wordpress.com/,https://twitter.com/BeldanSezen,https://static1.squarespace.com/static/502274d9e4b03bd70ef2bc16/t/54edc814e4b032e808a5d094/1424869397522/SnapshotsOfAGirl_coverSample.jpg?format=750w,,,,,,,,,,,,,,,,,,,,,,,,
Bex,Female,American,,"CA
",,United States,1988,,Creator, Artist,,,,,,,,,,,,,,,,,,Alternative, Speculative fiction, New Weird, Bizarro,,,,,http://bex-f.tumblr.com,http://radiant-spores.tumblr.com,,http://i.imgur.com/gEiGh4j.png,,,,,,,,,,,,,,,,,,,,,,,,
BiL Sherman,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Roundy,,,,,,,,,,,,,,,,Anything That Loves (contributor), Orientation Police, Bar Scrawl, The Amazing Adventures of Bill,,,,,,,,,Indie,,,,,,,,http://comics.billroundy.com/,,https://twitter.com/bartoonist,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Delliquanti,Female,American,Minneapolis, MN,,United States,1989,,Creator,,,,,,,O Human Star, Womanthology (contributor), Smut Peddler (contributor),,,,,,,,,,Webcomics,,,,,,,,http://ohumanstar.com,http://bluedelliquanti.com,http://twitter.com/bluedelliquanti,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Glasscock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brittney Sabo,Female,,,,,,1985,,Creator,,,,,,,"All Night, Francis Sharp",,,,,,,,,,,,webcomic, fantasy,,,,,,,http://www.allnightcomic.com,http://www.bsabo.com,https://twitter.com/BrittneySabo,,,,,,,,,,,,,,,,,,,,,,,,,
Burton Clarke,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://urbanbookmaven.blogspot.com/2012/10/i-draw-for-my-people-asserted-burton.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cara Goldstein,Female,American,,,,,1979,,Cartoonist,,,,,,,The Adventures of Olive Tangerine, Goblins Go Fishing," Olive Tangerine's Cartooning Book, The Whisperers and the Shouters",,,,,,,,,,Indie,,,,,,,,http://www.caragoldstein.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Vaughn Frick,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle Robinson,Trans masculine genderqueer,Canadian and American,,,,,1990,,Cartoonist,,,,,,,"The Satrians, The Case of Victor Gray, Maria",,,,,,,,,,,,webcomic and indie and disability,,,,,,,,http://satrians.tumblr.com,http://carodoodles.tumblr.com,HTTPS://twitter.com/carodoodles,,,,,,,,,,,,,,,,,,,,,,,,,
Carlo Quispe,Male,Peru,New York, NY,,United States,1978,,Comic Book Artist,,,,,,,"Uranus #1, Political Will, The Everything Is Ok Comic",,,,,,,,,,,,Political Comics, Gay Comics, Humor, Erotica,,,,,http://uranuscomics.tumblr.com/,http://www.facebook.com/URANUSComics,http://twitter.com/URANUSCOMICS,http://upload.wikimedia.org/wikipedia/commons/1/15/2.28.14CarloQuispeByLuigiNovi2.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Carlo Quispe,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.grrrr.net/nuiork/carlo/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Hobbs,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrie McNinch,Female,American,Los Angeles, CA,,United States,,,Cartoonist,,,,,,,You Don’t Get There From Here, No Straight Lines (contributor), QU33R (contributor),,,,,,,,,,Indie,,,,,,,,http://carriemcninch.tumblr.com/,,https://twitter.com/McGrinch,http://40.media.tumblr.com/50b66df3ff6176b3c9ea91e1a104e900/tumblr_nmreq1GiNo1ramv0do1_1280.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Cassian Lotte Lodge,Nonbinary: agender,White British,,,,,1986,,Creator, cartoonist, writer, artist,,,,Poly in Pictures,,,,,,,,,,,,Webcomic,,,,,,,,http://www.polyinpictures.com,,http://twitter.com/cassolotl,,,,,,,,,,,,,,,,,,,,,,,,,
Cataline Rufin,Genderqueer,Spanish,,,,,1993,,Cartoonist,,,,,,,Highland Girl, Forest Fairy, Noemi, The Amazing Jenny,,,,,,,,,Fantasy,,,,,,,,http://cargocollective.com/catalinarufin,http://fairywarriors.tumblr.com,https://twitter.com/fairycomix,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Sell,Male,American,,,,,1983,,Creator,,,,,,,"Vreeland, Manta-Man",,,,,,,,,,,,Indie,,,,,,,,http://www.chadsellcomics.com/,http://chadsell.tumblr.com/,https://twitter.com/panja57,http://www.chadsellcomics.com/comics/2015-06-09Flash.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Chase Van Weerdhuizen,Male,Dutch American,,,,,1994,,Cartoonist,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://chasing-comics.com,http://chasingcomics.tumblr.com,http://twitter.com/chasingcomics,,,,,,,,,,,,,,,,,,,,,,,,,
Chino,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christina Poag,Female,Mexican American and Brazilian,,,,,1985,,Creator, Cartoonist,,,,,,Gardenia, Social Hangover,,,,,,,,,,,Indie,,,,,,,,http://www.socialhangover.net,http://www.kittiecakes.net/,https://twitter.com/kittenbutt,,,,,,,,,,,,,,,,,,,,,,,,,
Christina Stewart (Steenz),Female,African-American,,,,,1990,,Illustrator,,,,,,,Archival Quality,,,,,,,,,,,,Indie, Mystery, Shoujo,,,,,,http://Archivalcomic.com ,http://Steenzartblog.tumblr.com ,Http://twitter.com/oheysteenz,,,,,,,,,,,,,,,,,,,,,,,,,
Christine Smith,Female,,,,,,,,Cartoonist,,,,,,,The Princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck McKinney,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Joughin,Female,American,,,,,1983,,Artist, Writer, Penciler, Inker, Creator,,,City of Cards,,,,,,,,,,,,Scifi, horror, romance, webcomic,,,,,http://www.cityofcards.com,,http://twitter.com/cjjoughin,http://www.cityofcards.com/comic/wp-content/uploads/ap_halloween_sketch_2013_colorv2_web.png,,,,,,,,,,,,,,,,,,,,,,,,
Clio Reese Sady,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colleen Coover,Female,,,,,,1969,,,,,,,,,Small Favors, Gingerbread Girl,,,,,,,,,,,,,,,,,,,http://www.colleencoover.net/,,https://twitter.com/ColleenCoover,http://www.colleencoover.net/wp-content/gallery/watercolor/fantomette.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Craig Bostick,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristy C. Road,Female,Cuban American,,,,,,,Writer, Artist,,,,,,Spit and Passion, Bad Habits A Love Story, Distance Makes My Heart Grow Sick, Indestructible, Greenzine,,,,,,,,Indie,,,,,,,,http://www.croadcore.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Travers Scott,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Kirkland,Male,African American,,,,,,,,,,,,,,,,,,,,,,,,,,Manga,,,,,,,,http://aerialraveonline.com/,http://www.djkirkland.com/,https://twitter.com/OhHeyDJ,,,,,,,,,,,,,,,,,,,,,,,,,
Dale Lazarov,Male,Puerto Rican,,,,,,,Writer / Art director,,,,,,,Sticky, Nightlife, Manly, Bulldogs, Good Sports, Fast Friends, Greek Love,,,,,,Wordless, gay character-based, sex-positive graphic novels,,,,,,http://www.dalelazarov.com/,,http://twitter.com/dalelazarovXXX,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Savage,Male,,,,,,,,Writer,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,http://www.thestranger.com/seattle/SavageLove?oid=20706070,,https://twitter.com/fakedansavage,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Ebersole,Male,white,Philadelphia,PA,,United States,1979,,Writer,,,,,,,Dash,,,,,,,,,,,,indie, noir, horror, adventure,,,,,http://www.teamdashcomic.com,http://daveebersole.com,http://twitter.com/debersol,https://teamdashcomic.files.wordpress.com/2014/11/dash_01_page_09.jpg,,,,,,,,,,,,,,,,,,,,,,,,
David Kelly,Male,,,,,,,,Cartoonist,,,,,,,Rainy Day Recess: The Complete Steven's Comics, No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,http://www.davidkellystudio.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Quantic,Male,United States,,,,,1973,,Creator/Writer,,,,,,,Bakersfield, Earth & The Corporeals,,,,,,,,,,,Sci-Fi, Humor, Comic, Webcomic,,,,,http://www.bakersfieldearth.com,http://www.theCorporeals.com,http://twitter.com/BakersfieldEar,,,,,,,,,,,,,,,,,,,,,,,,,
David Shenton,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Wojnarowicz,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy Shirley,Male,British,,,,,1986,,Writer/Artist,,,,,,,Fera, The Editors, Colony Alpha Lima, Mr Normal, House of Bones, The Dead Collector, angelKat Adventures,,,,,,Indie, Webcomic, Fantasy, Adventure, Horror, Science Fiction,,,http://angelk.at,,http://twitter.com/t_iii,,,,,,,,,,,,,,,,,,,,,,,,,
Deanna Rose Echanique (Dechanique),Female,Ecuadorian,,,,,1984,,Creator, Artist, Inker,,,,,"La Macchina Bellica Vol 1 (self-published, 2009)"," La Macchina Bellica Volume 2 (self-published, 2014)"," Kindling (self-published, 2013)"," Yes and No (Smut Peddler - Iron Circus Comics, 2012)",,,,,,,,,Manga-style indie comics,,,,,,,,http://www.dechanique.com,http://dechanique.storenvy.com,http://www.twitter.com/dechanique,,,,,,,,,,,,,,,,,,,,,,,,,
Declan McCarthy,Male,North American,,VT,,United States,1991,,artist,,,,,,,"Salaryman Cat, Rascal and Spats, Mage-ish Ian",,,,,,,,,,,,Indie, Anthro,,,,,,,http://cheerupbrigade.tumblr.com,,https://twitter.com/DeclanMcComics,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Goggans,Non-Binary,Native American,,,,,1995,,Illustrator, Cartoonist,,,,,,NB,,,,,,,,,,,,Indie,,,,,,,,http://dee-goggans.tumblr.com/,,https://twitter.com/dee_goggans,,,,,,,,,,,,,,,,,,,,,,,,,
